正式版本,临时版本,日期,更改内容
/,V100A00A,2022/6/29,新增：温控器控制时，3.5寸屏主界面状态显示
/,V100A00A,2022/6/29,删除：参数【地暖启动水温】
/,V100A00A,2022/6/29,修改：参数【机组类型】更名为【空调类型】
/,V100A00A,2022/6/29,新增：参数【太阳能开启水温】、【太阳能回差】
/,V100A00A,2022/6/29,修改：参数【F6-00】默认值由15改为10
/,V100A00A,2022/6/29,优化：快速制热水功能
/,V100A00A,2022/6/29,删除：参数【F6-00】
/,V100A00A,2022/6/29,修改：参数【压机制热水时长】更名为【优先制热水时长】
/,V100A00A,2022/6/29,修改：参数【压机制热水间隔】更名为【优先制热水间隔】
/,V100A00A,2022/6/29,优化：参数【室内设定温度】按制冷、制热分开，调整为【制冷室内设定温度】和【制热室内设定温度】
/,V100A00A,2022/6/29,优化：参数【室内设定温度(B)】按制冷、制热分开，调整为【制冷室内设定温度(B)】和【制热室内设定温度(B)】
/,V100A00A,2022/6/29,新增：参数【太阳能温度】，设为“使用”时，目前仅显示温度
/,V100A00A,2022/6/29,优化：参数【能量加载偏差】、【能量卸载偏差】按制冷、制热分开，调整为【制冷加载偏差】、【制冷卸载偏差】、【制热加载偏差】、【制热卸载偏差】
/,V100A00A,2022/6/29,优化：太阳能制热水时限制压机开启逻辑
/,V100A00A,2022/6/29,新增：强开外部热源功能
/,V100A00A,2022/6/29,优化：水箱电热功能
/,V100A00A,2022/6/29,优化：辅助电热功能
/,V100A00A,2022/6/29,优化：外部热源功能
/,V100A00A,2022/6/29,新增：增加机型并修改参数默认值
/,V100A00A,2022/6/29,修改：电磁三通阀2逻辑取消与开机挂钩
/,V100A00B2,2022/7/23,修改：修改参数默认值
/,V100A00B2,2022/7/23,修改：制热转速上限表环温点
/,V100A00B2,2022/7/23,新增：参数【辅热开启高温差】、【辅热开启低温差】、【地暖过热保护】
/,V100A00B2,2022/7/23,删除：参数【辅助电热数】
/,V100A00B2,2022/7/25,修改：【静音模式】更名为【静音级别】，设定范围改为“一级静音”、“二级静音”
/,V100A00B2,2022/7/25,新增：【假日离家制热】、【假日离家热水】
/,V100A00B2,2022/7/25,修复：环温-目标设定温度的“曲线9”线性计算边界值选择错误问题
/,V100A00B2,2022/7/25,优化：【热水功能】、【定时杀菌功能】属性改为运行时不可修改
/,V100A00B2,2022/7/25,新增：压机故障【环温过低限制压机开启】
/,V100A00B3,2022/7/26,优化：“快速制热水功能”更名为“强开热水模式”，判断逻辑优化
/,V100A00B3,2022/7/26,新增：定时杀菌功能
/,V100A00B3,2022/7/26,新增：“太阳能制热水限制压机开启”逻辑新增根据“太阳能温度TSL”的处理
/,V100A00B3,2022/7/26,新增：“太阳能水泵”逻辑新增根据“太阳能温度TSL”的处理
/,V100A00B3,2022/7/26,优化：电磁三通阀1关闭条件调整为仅判断是否有制热水需求
/,V100A00B3,2022/7/26,优化：电磁三通阀2开启条件调整为判断当前运行模式&是否有制热需求
/,V100A00B3,2022/7/26,优化：电磁三通阀3关闭条件补充地暖进水温度过高判断
/,V100A00B3,2022/7/26,新增：SW1、SW2拨码处理，读取辅助电热档位数和机器型号
/,V100A00B3,2022/7/26,新增：外机板点检试运行功能
/,V100A00B3,2022/7/26,修复：热水模式优先时，可能会出现模式不切换的问题，将原“压机运行时间”改为“模式运行时间”进行判断
/,V100A00B3,2022/7/26,优化：智能电网免费用电(I)、免费用电（II）和高峰用电状态下的动作逻辑
/,V100A00B3,2022/7/26,优化：免费用电状态(I)下，主界面热水设定温度显示固定为70℃
/,V100A00B3,2022/7/26,新增：点检试运行功能针对辅助电热、水箱电热、防冻结电加热带增加5s自动关闭逻辑
/,V100A00B4,2022/7/27,优化：点检试运行功能新增水箱电热开启时，辅助电热保持关闭限制
/,V100A00B4,2022/7/27,新增：水泵试运行功能
/,V100A00B5,2022/7/27,修复：水泵试运行计时错误问题
/,V100A00B5,2022/7/27,修复：温控器模式切换时，无法正常开机的问题
