正式版本,临时版本,修改人,更改需求、问题及现象,原因分析,更改内容,测试方案,邦普验证时间,邦普验证负责人
V100B00,V100B00A,张宇,固化参数,客户需求,按需修改,测试相应机型及参数显示正确,2023-01-07,邝杰洪
V100B00,V100B00B,邝杰洪,只开一侧，且另一侧未开时，存在未开一侧被冻住的风险,新需求,"增加：定时防冻逻辑
增加：参数【定时防冻间隔】、【定时防冻时长】","1、测试待机时防冻
2、测试仅热水运行，空调区未开启时的防冻
3、测试仅空调区开启，热水区未开启的防冻",2023-01-08,张宇
V100B00,V100B00C,邝杰洪,3.5寸屏显示优化,程序优化,优化使用温控器时邦普3.5寸屏隐藏了SV3状态,检查使用温控器的各个界面显示,2023-01-08,张宇
V100B00,V100B00D,邝杰洪,级联功能优化,客户需求,优化级联功能，优化内部测试反馈级联时存在压机未严格按照能调周期进行压机启动停止的情况,进行8个模块级联能调测试,2023-01-09,张宇
V100B00,V100B00F,邝杰洪,防冻功能优化,客户需求,"优化机组有区域运行时，其他未运行区域的防冻逻辑；
1、当单模块或级联时所有模块都带热水功能时：当有区域在运行，另外未运行的区域可以根据【定时防冻间隔】、【定时防冻时长】进行防冻；
2、当级联时有部分模块带热水功能时：
当只有热水区域运行时，空调区域满足防冻条件可自行防冻；
当只有空调区域运行时，热水区域满足防冻条件可自行防冻；
当空调区域只有A/B区中一个运行时，另一区域可根据【定时防冻间隔】、【定时防冻时长】进行防冻；","1、测试单模块待机防冻、运行时的定时防冻
2、测试级联时待机防冻、运行时防冻，运行的定时防冻",2023-01-10,张宇
V100B00,V100B00G,邝杰洪,退防冻温度范围有误，热水水箱中无水时可能无法正常退出防冻,客户需求,优化防冻逻辑解决之前由于加入热水水箱温度判断导致的无法退出防冻问题,"1、测试当热水水箱温度低时能否正常进行热水防冻
2、测试当热水水箱温度低进入防冻后能否正常流程退出防冻
3、模拟水箱没有水，水温低异常能否退出防冻",2023-01-12,张宇
V100B00,V100B00H,邝杰洪,试运行功能,程序优化,优化不同试运行功能间的切换。在进行某项试运行期间，开启其他试运行同时关闭之前的试运行，防止不了解该功能的人员同时开启多个试运行，导致功能混乱,测试进入不同试运行后，再进入不同试运行功能，是否能正常切换，且不影响当前试运行功能执行,2023-01-15,张宇
V100B00,/,邝杰洪,"1、固化参数
2、版本转正",客户需求,"1、按需修改
2、修改版本号，归档V100B00","1、测试相应机型及参数显示正确
2、测试版本号是否正确",2023-01-31,张宇
V100B01,V100B01H,邝杰洪,固化参数,客户需求,"0、由V100B00版本更改过来
1、按需修改
2、修改版本号，转正V100B01",测试相应机型及参数显示正确,2023-04-14,张宇
/,V100B01A,邝杰洪,能力测试优化,程序优化,增加：能力测试时可手动退出并恢复自由跑的功能,进入能力测试后，修改参数【能力测试选择】为禁用，测试机组是否退出能力测试并恢复自由跑,2023-02-11,张宇
